"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Household","","","0","3","0","0","0"
"Household","Create Household","","0","5","0","0","0"
"Books","Create Book","","0","4","0","0","0"
"Users","Create User","","0","5","0","0","0"
"Users","Update User","","0","1","0","0","0"
"Books","Delete Book","","0","1","0","0","0"
"Household","Delete Household","","0","1","0","0","0"
"Wishlist","Delete Wishlist","","0","1","0","0","0"
"Books","","","0","4","0","0","0"
"Wishlist","","","0","3","0","0","0"
"Wishlist","Create Wishlist","","0","5","0","0","0"
"Books","Create Book","Valid Book Creation","0","1","0","0","0"
"Users","","","0","3","0","0","0"
"Books","Partial Update Book","","0","1","0","0","0"
"Users","Delete User","","0","1","0","0","0"
"Wishlist","Partial Update Wishlist","","0","1","0","0","0"
"Household","Update Household","","0","1","0","0","0"
"Wishlist","Update Wishlist","","0","1","0","0","0"
"Household","Partial Update Household","","0","1","0","0","0"
"Users","Partial Update User","","0","1","0","0","0"
"Books","Update Book","","0","1","0","0","0"
