"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 13 00:29:47 UTC 2025","Sun Jul 13 00:29:47 UTC 2025","31","Negative Scenarios","Negative Scenarios","testcases.books.TC09_CreateNewBook_NegativeData","testcases.books.TC09_CreateNewBook_NegativeData","createBook_InvalidIsbn_N","Create book with invalid ISBN",""
"broken","Sun Jul 13 00:29:46 UTC 2025","Sun Jul 13 00:29:46 UTC 2025","7","Positive Scenarios","Positive Scenarios","testcases.houseHolding.TC07_Delete_A_Household","testcases.houseHolding.TC07_Delete_A_Household","deleteExistedHousehold","delete existed household",""
"broken","Sun Jul 13 00:29:46 UTC 2025","Sun Jul 13 00:29:46 UTC 2025","7","Positive Scenarios","Positive Scenarios","testcases.users.TC08_Get_A_User","testcases.users.TC08_Get_A_User","checkGetUserWorking_P","Check that GET after DELETE returns 404 Not Found for deleted user",""
"broken","Sun Jul 13 00:29:46 UTC 2025","Sun Jul 13 00:29:46 UTC 2025","17","Positive Scenarios","Positive Scenarios","testcases.houseHolding.TC05_Partial_Update_Existed_Household","testcases.houseHolding.TC05_Partial_Update_Existed_Household","partialUpdateExistingHousehold_P","partial update existed household with valid data",""
"broken","Sun Jul 13 00:29:46 UTC 2025","Sun Jul 13 00:29:46 UTC 2025","6","Positive Scenarios","Positive Scenarios","testcases.users.TC06_Get_A_User","testcases.users.TC06_Get_A_User","checkGetUserWorking_P","Check Get user working and return response as expected",""
"broken","Sun Jul 13 00:29:46 UTC 2025","Sun Jul 13 00:29:46 UTC 2025","7","Positive Scenarios","Positive Scenarios","testcases.users.TC02_Get_A_User","testcases.users.TC02_Get_A_User","checkGetUserWorking_P","Check Get user working and return response as expected",""
"broken","Sun Jul 13 00:29:46 UTC 2025","Sun Jul 13 00:29:46 UTC 2025","14","Positive Scenarios","Positive Scenarios","testcases.houseHolding.TC01_Create_New_Household","testcases.houseHolding.TC01_Create_New_Household","createNewHousehold_P","Create new household with valid data",""
"broken","Sun Jul 13 00:29:47 UTC 2025","Sun Jul 13 00:29:47 UTC 2025","11","Negative Scenarios","Negative Scenarios","testcases.wishList.TC09_CreateNewWishlist_NegativeData","testcases.wishList.TC09_CreateNewWishlist_NegativeData","createWishlist_InvalidEmail_N","Create wishlist with invalid email",""
"broken","Sun Jul 13 00:29:47 UTC 2025","Sun Jul 13 00:29:47 UTC 2025","13","Negative Scenarios","Negative Scenarios","testcases.books.TC09_CreateNewBook_NegativeData","testcases.books.TC09_CreateNewBook_NegativeData","createBook_MissingTitle_N","Create book with missing title",""
"broken","Sun Jul 13 00:29:46 UTC 2025","Sun Jul 13 00:29:46 UTC 2025","9","Positive Scenarios","Positive Scenarios","testcases.wishList.TC05_Partial_Update_Existed_Wishlist","testcases.wishList.TC05_Partial_Update_Existed_Wishlist","partialUpdateExistingWishlist_P","Partial update existing wishlist with valid data",""
